bookID,title,short_title
28071, The Red Triangle|Being Some Further Chronicles of Martin Hewitt, Investigator,The Red Triangle
28293, The Tale of Jolly Robin,The Tale of Jolly Robin
28312, Atheism in Pagan Antiquity,Atheism in Pagan Antiquity
28608, Inside John Barth,Inside John Barth
28674, Babylonian and Assyrian Laws, Contracts and Letters,Babylonian and Assyrian Laws, Contracts and Letters
28708, Practical Education, Volume I,Practical Education, Volume I
28763, Imaginary Interviews,Imaginary Interviews
28803, The Works Of Mark Twain|An Index of all Project Gutenberg Editions,The Works Of Mark Twain
28892, Benefactor,Benefactor
2902, Studies and Essays: Concerning Letters,Studies and Essays: Concerning Letters
29056, Almost A Man,Almost A Man
29125, Brief Reflections relative to the Emigrant French Clergy,Brief Reflections relative to the Emigrant French Clergy
29207, Cleo The Magnificent; Or, The Muse of the Real: A Novel,Cleo The Magnificent; Or, The Muse of the Real: A Novel
29260, Sure Pop and the Safety Scouts,Sure Pop and the Safety Scouts
29413, The Voyages and Adventures of Captain Hatteras,The Voyages and Adventures of Captain Hatteras
29499, The Paper Moneys of Europe: Their Moral and Economic Significance,The Paper Moneys of Europe: Their Moral and Economic Significance
29546, Where Half The World Is Waking Up|The Old and the New in Japan, China, the Philippines, and India, Reported With Especial Reference to American Conditions,Where Half The World Is Waking Up
29600, Rural Life and the Rural School,Rural Life and the Rural School
29631, Journal of a Residence at Bagdad|During the Years 1830 and 1831,Journal of a Residence at Bagdad
29698, Lighter Than You Think,Lighter Than You Think
30204, Arrows of Freethought,Arrows of Freethought
30228, Officer 666,Officer 666
30383, Spies Die Hard!,Spies Die Hard!
30427, The Lost Kafoozalum,The Lost Kafoozalum
30451, A Day with Keats,A Day with Keats
30670, Mr. Chipfellow's Jackpot,Mr. Chipfellow's Jackpot
30688, Letters of a Radio-Engineer to His Son,Letters of a Radio-Engineer to His Son
30731, Industrial Conspiracies,Industrial Conspiracies
30840, The Girls of Central High on Lake Luna; Or, The Crew That Won,The Girls of Central High on Lake Luna; Or, The Crew That Won
30941, The German Classics of the Nineteenth and Twentieth Centuries|Masterpieces of German Literature Vol. 19,The German Classics of the Nineteenth and Twentieth Centuries
30989, Mystery Ranch,Mystery Ranch
31160, Free Joe and Other Georgian Sketches,Free Joe and Other Georgian Sketches
31177, Ritual Conformity|Interpretations of the Rubrics of the Prayer-Book Agreed Upon by a Conference Held at All Saints, Margaret-street, 1880-1881,Ritual Conformity
31463, The Orphan; Or, The Unhappy Marriage.  A Tragedy, in Five Acts,The Orphan; Or, The Unhappy Marriage.  A Tragedy, in Five Acts
31468, The Battle of Franklin, Tennessee, November 30, 1864|A statement of the erroneous claims made by General Schofield, and an exposition of the blunder which opened the battle,The Battle of Franklin, Tennessee, November 30, 1864
31511, A History of Witchcraft in England from 1558 to 1718,A History of Witchcraft in England from 1558 to 1718
31736, Star Performer,Star Performer
31776, Si Klegg, Book 6|Si and Shorty, with Their Boy Recruits, Enter on the Atlanta Campaign,Si Klegg, Book 6
31984, A Life Sentence: A Novel,A Life Sentence: A Novel
32010, A Feast of Demons,A Feast of Demons
32238, A Thought For Tomorrow,A Thought For Tomorrow
32331, Dave Dawson at Casablanca,Dave Dawson at Casablanca
32345, The Animated Pinup,The Animated Pinup
32405, Augusta Triumphans|Or, the Way to Make London the Most Flourishing City in the Universe,Augusta Triumphans
32434, All In The Mind,All In The Mind
32456, R.E.H.,R.E.H.
32470, Isle of the Undead,Isle of the Undead
32503, Swamp Demons,Swamp Demons
32639, The Medici Boots,The Medici Boots
32702, The Romance of the Reaper,The Romance of the Reaper
32748, Mate in Two Moves,Mate in Two Moves
32811, Holiday House: A Series of Tales,Holiday House: A Series of Tales
32866, Beyond The Thunder,Beyond The Thunder
33249, Romanesque Art in Southern Manche: Album,Romanesque Art in Southern Manche: Album
33306, The King of Arcadia,The King of Arcadia
33314, H. R.,H. R.
33448, Saint Bonaventure: The Seraphic Doctor Minister-General of the Franciscan Order,Saint Bonaventure: The Seraphic Doctor Minister-General of the Franciscan Order
33508, A New Subspecies of Lizard, Cnemidophorus sacki, from MichoacÃ¡n, MÃ©xico,A New Subspecies of Lizard, Cnemidophorus sacki, from MichoacÃ¡n, MÃ©xico
33510, Stories for Helen,Stories for Helen
33593, Orchids,Orchids
33604, Tony Butler,Tony Butler
33606, The Fairy School of Castle Frank,The Fairy School of Castle Frank
33700, The Modern Woman's Rights Movement: A Historical Survey,The Modern Woman's Rights Movement: A Historical Survey
33886, The Wish: A Novel,The Wish: A Novel
3397, Roundabout to Boston (from Literary Friends and Acquaintance),Roundabout to Boston (from Literary Friends and Acquaintance)
3417, The Fortunes of Oliver Horn,The Fortunes of Oliver Horn
34309, An Outline of Sexual Morality,An Outline of Sexual Morality
34410, The Treasure of the Isle of Mist,The Treasure of the Isle of Mist
34440, A Jewish Chaplain in France,A Jewish Chaplain in France
3452, Tea Leaves,Tea Leaves
34610, How to Appreciate Music,How to Appreciate Music
3463, The Boys' Life of Mark Twain,The Boys' Life of Mark Twain
34850, Signal in the Dark,Signal in the Dark
35025, Self-Determining Haiti|Four articles reprinted from The Nation embodying a report of an investigation made for the National Association for the Advancement of Colored People.,Self-Determining Haiti
35288, Two Years in Oregon,Two Years in Oregon
35300, Louisiana,Louisiana
35491, Boris Lensky,Boris Lensky
35499, The Pharaoh and the Priest: An Historical Novel of Ancient Egypt,The Pharaoh and the Priest: An Historical Novel of Ancient Egypt
35511, Working Women of Japan,Working Women of Japan
35559, The Reconstruction of Georgia|Studies in History, Economics and Public Law, Vol. 13, No. 3, 1901,The Reconstruction of Georgia
35632, With the World's Great Travellers, Volume 3,With the World's Great Travellers, Volume 3
35704, Wonder Stories: The Best Myths for Boys and Girls,Wonder Stories: The Best Myths for Boys and Girls
35848, Gaudeamus! Humorous Poems,Gaudeamus! Humorous Poems
35952, The Sun Dance of the Blackfoot Indians,The Sun Dance of the Blackfoot Indians
35954, The Handbook to the Rivers and Broads of Norfolk & Suffolk,The Handbook to the Rivers and Broads of Norfolk & Suffolk
36110, Odd Bits of Travel with Brush and Camera,Odd Bits of Travel with Brush and Camera
36156, Amy Herbert,Amy Herbert
36287, The Poems and Prose Poems of Charles Baudelaire|with an Introductory Preface by James Huneker,The Poems and Prose Poems of Charles Baudelaire
36321, Misrepresentative Men,Misrepresentative Men
36335, The Secret of Lonesome Cove,The Secret of Lonesome Cove
36432, The Coming of Coal,The Coming of Coal
36499, Rounding up the Raider: A Naval Story of the Great War,Rounding up the Raider: A Naval Story of the Great War
36651, The Castle of Andalusia: A Comic Opera, in Three Acts,The Castle of Andalusia: A Comic Opera, in Three Acts
36672, Tripping with the Tucker Twins,Tripping with the Tucker Twins
36758, Cynthia Wakeham's Money,Cynthia Wakeham's Money
36759, Daisy; or, The Fairy Spectacles,Daisy; or, The Fairy Spectacles
36855, Gabriel: A Story of the Jews in Prague,Gabriel: A Story of the Jews in Prague
37027, With Fire and Sword: An Historical Novel of Poland and Russia,With Fire and Sword: An Historical Novel of Poland and Russia
37134, The Elements of Style,The Elements of Style
37152, A Maid of Many Moods,A Maid of Many Moods
37172, In a Glass Darkly, v. 1/3,In a Glass Darkly, v. 1/3
37185, The Adventures of a Widow: A Novel,The Adventures of a Widow: A Novel
37220, Down the Yellowstone,Down the Yellowstone
37295, Soft Candy for Bees,Soft Candy for Bees
37304, Those Dale Girls,Those Dale Girls
37342, Medieval English Literature,Medieval English Literature
37410, Masters of French Music,Masters of French Music
37441, The Wanderer; or, Female Difficulties (Volume 5 of 5),The Wanderer; or, Female Difficulties (Volume 5 of 5)
37527, Sermons,Sermons
37536, The House of the Dead; or, Prison Life in Siberia|with an introduction by Julius Bramont,The House of the Dead; or, Prison Life in Siberia
37697, Creed and Deed: A Series of Discourses,Creed and Deed: A Series of Discourses
37729, A Discourse Presented to the Most Serene Don Cosimo II., Great Duke of Tuscany, Concerning the Natation of Bodies Vpon, and Submersion In, the Water.,A Discourse Presented to the Most Serene Don Cosimo II., Great Duke of Tuscany, Concerning the Natation of Bodies Vpon, and Submersion In, the Water.
37782, Life in an Indian Outpost,Life in an Indian Outpost
3780, The King's Highway,The King's Highway
37882, Mr. Punch in the Highlands,Mr. Punch in the Highlands
37926, As Gold in the Furnace : A College Story,As Gold in the Furnace : A College Story
38027, Autobiography of Countess Tolstoy,Autobiography of Countess Tolstoy
38044, The Ascent of the Matterhorn,The Ascent of the Matterhorn
38095, Heretics And Heresies|From 'The Gods and Other Lectures',Heretics And Heresies
38096, Humboldt|From 'The Gods and Other Lectures',Humboldt
3812, The Mirrors of Washington,The Mirrors of Washington
38177, The Passionate Elopement,The Passionate Elopement
3825, Pygmalion,Pygmalion
38284, The Heart of Denise, and Other Tales,The Heart of Denise, and Other Tales
38369, A Journal of Two Campaigns of the Fourth Regiment of U.S. Infantry|In the Michigan and Indiana Territories, Under the Command of Col. John P. Boyd, and Lt. Col. James Miller During the Years 1811, & 12.,A Journal of Two Campaigns of the Fourth Regiment of U.S. Infantry
38380, The Two Tests: The Supernatural Claims of Christianity Tried by Two of Its Own Rules,The Two Tests: The Supernatural Claims of Christianity Tried by Two of Its Own Rules
38513, The Lives of the III. Normans, Kings of England: William the First, William the Second, Henrie the First,The Lives of the III. Normans, Kings of England: William the First, William the Second, Henrie the First
38938, Through East Anglia in a Motor Car,Through East Anglia in a Motor Car
39097, Woven with the Ship: A Novel of 1865|Together with certain other veracious tales of various sorts,Woven with the Ship: A Novel of 1865
39339, Superwomen,Superwomen
39399, Treasure of Kings|Being the Story of the Discovery of the Big Fish, or the Quest of the Greater Treasure of the Incas of Peru.,Treasure of Kings
39425, The Mysterious Wanderer, Vol. III|A Novel in Three Volumes,The Mysterious Wanderer, Vol. III
39515, Mrs. Thompson: A Novel,Mrs. Thompson: A Novel
3958, A Romance of Youth - Volume 1,A Romance of Youth - Volume 1
39635, The Best Short Stories of 1918, and the Yearbook of the American Short Story,The Best Short Stories of 1918, and the Yearbook of the American Short Story
39768, Vassall Morton: A Novel,Vassall Morton: A Novel
40083, Mollie's Prince: A Novel,Mollie's Prince: A Novel
40214, The Swan and Her Crew|or The Adventures of Three Young Naturalists and Sportsmen on the Broads and Rivers of Norfolk,The Swan and Her Crew
4027, Little Songs,Little Songs
40408, A Devotee: An Episode in the Life of a Butterfly,A Devotee: An Episode in the Life of a Butterfly
40453, Tom Ossington's Ghost,Tom Ossington's Ghost
40606, The Legal Position of the Clergy,The Legal Position of the Clergy
40677, Lives of Illustrious Shoemakers,Lives of Illustrious Shoemakers
40786, The Black Riders, and Other Lines,The Black Riders, and Other Lines
41152, Braddock's Road and Three Relative Papers,Braddock's Road and Three Relative Papers
41234, Scrambles Amongst the Alps in the Years 1860-69,Scrambles Amongst the Alps in the Years 1860-69
41374, Mohawks: A Novel. Volume 1 of 3,Mohawks: A Novel. Volume 1 of 3
41406, Paper-bag Cookery,Paper-bag Cookery
41536, Motor Boat Boys Among the Florida Keys; Or, The Struggle for the Leadership,Motor Boat Boys Among the Florida Keys; Or, The Struggle for the Leadership
41696, The Feasts of Autolycus: The Diary of a Greedy Woman,The Feasts of Autolycus: The Diary of a Greedy Woman
4172, Diary of Samuel Pepys - Volume 49: January 1666-67,Diary of Samuel Pepys - Volume 49: January 1666-67
41881, The Corsican Brothers,The Corsican Brothers
41891, Automobile Biographies|An Account of the Lives and the Work of Those Who Have Been Identified with the Invention and Development of Self-Propelled Vehicles on the Common Roads,Automobile Biographies
42163, Bernardino Luini,Bernardino Luini
42210, Bancroft's Tourist's Guide. Yosemite. San Francisco and around the Bay, (South.),Bancroft's Tourist's Guide. Yosemite. San Francisco and around the Bay, (South.)
42439, The Santa Fe Trail, and Other Poems,The Santa Fe Trail, and Other Poems
42476, Literary Celebrities of the English Lake-District,Literary Celebrities of the English Lake-District
42712, A History of the City of Brooklyn and Kings County, Volume II.,A History of the City of Brooklyn and Kings County, Volume II.
42800, Buck Peters, Ranchman|Being the Story of What Happened When Buck Peters, Hopalong Cassidy, and Their Bar-20 Associates Went to Montana,Buck Peters, Ranchman
42868, A Thousand Ways to Please a Husband with Bettina's Best Recipes,A Thousand Ways to Please a Husband with Bettina's Best Recipes
42915, The Lazy Minstrel,The Lazy Minstrel
42921, A World of Wonders, with Anecdotes and Opinions Concerning Popular Superstitions,A World of Wonders, with Anecdotes and Opinions Concerning Popular Superstitions
42988, Nursing as Caring: A Model for Transforming Practice,Nursing as Caring: A Model for Transforming Practice
42992, Castes and Tribes of Southern India. Vol. 2 of 7,Castes and Tribes of Southern India. Vol. 2 of 7
430, The Grain of Dust: A Novel,The Grain of Dust: A Novel
4308, The Town Traveller,The Town Traveller
43120, Dumps - A Plain Girl,Dumps - A Plain Girl
4324, Fifty Famous Fables,Fifty Famous Fables
43358, Modern Flirtations: A Novel,Modern Flirtations: A Novel
43437, Memoirs of Miss Sidney Biddulph|Extracted from her own Journal, and now first published,Memoirs of Miss Sidney Biddulph
43451, The Discovery and Conquest of the Molucco and Philippine Islands.|Containing their History, Ancient and Modern, Natural and Political: Their Description, Product, Religion, Government, Laws, Languages, Customs, Manners, Habits, Shape, and Inclinations of the Natives. With an Account of many other adjacent Islands, and several remarkable Voyages through the Streights of Magellan, and in other Parts.,The Discovery and Conquest of the Molucco and Philippine Islands.
43773, Shifting Sands,Shifting Sands
4395, In Wicklow and West Kerry,In Wicklow and West Kerry
44071, The Sin and Danger of Self-Love|Described by a Sermon Preached At Plymouth, in New-England, 1621,The Sin and Danger of Self-Love
44175, Nautical Charts,Nautical Charts
44229, The Birth of the Nation, Jamestown, 1607,The Birth of the Nation, Jamestown, 1607
44329, Modern Painters, Volume 5 (of 5),Modern Painters, Volume 5 (of 5)
44429, A Tour Through the Pyrenees,A Tour Through the Pyrenees
44461, Wanderings through unknown Austria,Wanderings through unknown Austria
44463, Red and White: A Tale of the Wars of the Roses,Red and White: A Tale of the Wars of the Roses
44498, The Wreck of the Grosvenor, Volume 2 of 3|An account of the mutiny of the crew and the loss of the ship when trying to make the Bermudas,The Wreck of the Grosvenor, Volume 2 of 3
44741, The Life of George Cruikshank in Two Epochs, Vol. 1. (of 2),The Life of George Cruikshank in Two Epochs, Vol. 1. (of 2)
44973, Stray Pebbles from the Shores of Thought,Stray Pebbles from the Shores of Thought
4509, Three Acres and Liberty,Three Acres and Liberty
45209, The Works of John Marston. Volume 1,The Works of John Marston. Volume 1
45305, The City of God, Volume II,The City of God, Volume II
45465, The Sunlit Hours,The Sunlit Hours
45489, Stories of Old Greece and Rome,Stories of Old Greece and Rome
45553, The Lu Lu Alphabet,The Lu Lu Alphabet
45620, The Lost and Hostile Gospels|An Essay on the Toledoth Jeschu, and the Petrine and Pauline Gospels of the First Three Centuries of Which Fragments Remain,The Lost and Hostile Gospels
45648, Lady Penelope,Lady Penelope
45659, Girls New and Old,Girls New and Old
