authorID,fullName
a0509,"Robert Hugh, Benson"
a051,"John K., Shellenberger"
a0510,"W. B. (William Babington), Maxwell"
a0511,"J. E. (John Edwin), Copus"
a0512,"Immanuel, Kant"
a0513,"Thomas Kingsmill, Abbott"
a0514,"Ida, Pfeiffer"
a0515,"Galileo, Galilei"
a0516,"Thomas, Salusbury"
a0517,"Henry, Frith"
a0518,"Anne, Brontë"
a0519,"Emily, Brontë"
a052,"Edward, Burbidge"
a0520,"Charlotte, Brontë"
a0521,"Lester, Del Rey"
a0522,"Vivian, Caulfeild"
a0523,"William, Allingham"
a0524,"Caroline, Paterson"
a0525,"Kate, Greenaway"
a0526,"Harry, Furniss"
a0527,"Helen Paterson, Allingham"
a0528,"Roy, Rockwood"
a0529,"Gordon, Casserly"
a053,"John, Kirby"
a0530,"Robert Sidney, Bowen"
a0531,"Joseph, Samachson"
a0532,"Hector, Berlioz"
a0533,"Arthur B. (Arthur Benjamin), Reeve"
a0534,"Grace, Beaumont"
a0536,"Methuen, Non"
a0537,"Jackson, Gregory"
a0538,"Richard Francis, Weymouth"
a0539,"Mary, Wood-Allen"
a054,"Clinton W. (Clinton Wallace), Gilbert"
a0540,"E. R. (Ernest Robertson), Punshon"
a0541,"Nelson Slade, Bond"
a0542,"Archer Butler, Hulbert"
a0543,"England), Knaresbrough Rail-Way Committee (Knaresborough"
a0544,"Victor, Hugo"
a0545,"Virna, Sheard"
a0546,"Edgar, Thurston"
a0547,"K., Rangachari"
a0548,"W. T. (William Thomas), Stead"
a0549,"Estelle W. (Estelle Wilson), Stead"
a055,"James Weldon, Johnson"
a0550,"Bolton, Hall"
a0551,"Thomas Stanley, Treanor"
a0552,"Herbert Newton, Casson"
a0553,"Albert Payson, Terhune"
a0554,"A. B. (Albert Beck), Wenzell"
a0555,"David Graham, Phillips"
a0556,"Jerome K. (Jerome Klapka), Jerome"
a0557,"F. G. (Frederick George), Smith"
a0558,"Alice Morse, Earle"
a056,"Roy Rutherford, Bailey"
a057,"Hans Waldemar, Wessolowski"
a058,"E. E. (Edward Elmer), Smith"
a059,"John, Lord"
a06,"Winston K., Marks"
a060,"Sara Ware, Bassett"
a061,"Burton N. (Burton Noble), Gates"
a062,"Lida Myrtle, Williams"
a063,"Arnold, Marmor"
a064,"Lloyd Arthur, Eshbach"
