authorID,bookID
a066,20569
a067,29207
a068,38095
a068,38096
a069,32345
a07,23377
a07,23385
a070,21305
a071,21305
a071,21356
a072,6583
a073,17206
a074,13031
a074,25140
a075,5462
a075,5538
a076,5462
a076,5538
a077,39425
a078,1262
a079,4952
a08,33604
a080,53604
a081,37342
a082,16233
a083,16233
a084,28803
a084,7572
a085,2431
a085,28803
a085,5818
a086,1578
a087,28674
a088,3958
a088,7572
a089,51653
a09,33604
a090,51653
a091,9630
a092,29499
a093,38177
a094,6633
a095,44175
a096,3780
a097,27513
a098,26513
a099,42476
b5001,37908
b50010,37203
b500100,28638
b500101,42232
b500102,41894
b500102,42232
b500103,19538
b500104,32553
b500105,32553
b500106,43593
b500107,43593
b500108,43981
b500109,7481
b50011,41443
b500110,10081
b500110,6337
b500111,21218
b500111,40274
b500112,34754
b500113,21640
b500114,34298
b500114,7618
b500115,27521
b500116,40057
b500117,51409
b500118,23698
b500119,32459
b50012,1810
b50012,1884
b50012,5464
b50012,5555
b500120,32459
b500121,42730
b500122,34660
b500123,39395
b500124,5417
b500124,54660
b500125,43925
b500126,43925
b500127,7893
b500128,6868
b500129,3781
b50013,5464
b50013,5555
b50013,5588
b500130,31374
b500131,31374
b500132,11748
b500133,9604
b500134,9604
b500135,40566
b500136,44481
b500137,18900
b500138,38205
b500139,15437
b50014,18831
b500140,23277
b500141,24107
b500142,16532
b500143,1390
b500144,1002
b500144,1003
b500145,1002
b500145,1003
b500146,4468
b500146,4472
b500147,22916
b500148,7132
b500149,47179
b50015,18831
b50015,19158
b500150,12932
b500151,28443
b500152,45306
b500153,18713
b500154,38608
b500155,2115
b500156,12638
b500157,18875
b500158,18875
b500159,35044
b50016,25733
b500160,30121
b500161,5871
b500162,19549
b500163,19549
b500164,6980
b500165,19526
b500166,19526
b500167,19526
b500168,35711
b500169,176
b500169,7529
b50017,25733
b500170,45549
b500171,26023
b500172,15948
b500173,1819
b500173,411
b500173,6015
b500174,27102
b500175,3094
b500176,16101
b500177,16101
b500178,1233
b500179,26344
b50018,32504
b500180,9195
b500181,35467
b500182,36674
b500183,44603
b500184,44603
b500185,19432
b500186,46574
b500187,12608
b500188,7360
b500189,318
b50019,32504
b500190,40760
b500191,21218
b500192,11969
b500193,22644
b500194,22644
b500195,19494
b500196,7405
b500197,26799
b500198,21953
b500199,37961
b500199,49595
b5002,13886
b50020,5916
b500200,37961
b500201,6265
b500201,6281
b500202,449
b500203,449
b500204,4813
b500205,22231
b500206,22231
b500207,19610
b500208,12314
b500209,12314
b50021,5916
b500210,26613
b500211,17697
b500212,17697
b500213,44447
b500214,6088
b500215,6088
b500216,37010
b500217,26309
b500218,38093
b500219,36105
b50022,44447
b50022,5916
b500220,36105
b500221,27485
b500222,45300
b500223,45300
b500224,23378
b500225,23378
b500226,23378
b500227,352
b500228,23281
b500229,2004
b50023,26703
b500230,45331
b500231,22234
b500231,27567
b500232,19450
b500233,39168
b500234,43670
b500235,43670
b500236,37046
b500236,7030
b500237,41508
b500238,25396
b500239,16540
b50024,17066
b500240,25868
b500241,29732
b500242,29732
b500243,44661
b500244,20678
b500245,38075
b500246,19990
b500247,30763
b500248,30763
b500249,8511
b500249,8558
b50025,23733
b500250,8511
b500251,12103
