authorID,fullName,firstName,surName,title
a0244, Woolley, Edwin C. (Edwin Campbell), Edwin C. (Edwin Campbell), Woolley, 
a0245, Butler, Samuel, Samuel, Butler, 
a0246, Hayward, John, Sir, John, Hayward, Sir
a0247, Burney, Fanny, Fanny, Burney, 
a0248, Whittier, John Greenleaf, John Greenleaf, Whittier, 
a0249, Footner, Hulbert, Hulbert, Footner, 
a025, Morton, John Maddison, John Maddison, Morton, 
a0250, Torrey, Bradford, Bradford, Torrey, 
a0251, Le Queux, William, William, Le Queux, 
a0252, Moore, Thomas, Thomas, Moore, 
a0253, Galsworthy, John, John, Galsworthy, 
a0254, Defoe, Daniel, Daniel, Defoe, 
a0255, Warner, Charles Dudley, Charles Dudley, Warner, 
a0256, Adler, Felix, Felix, Adler, 
a0257, Hood, George Washington, George Washington, Hood, 
a0258, Gray, Arthur, Arthur, Gray, 
a0259, Abbott, Jacob, Jacob, Abbott, 
a026, Shelley, Mary Wollstonecraft, Mary Wollstonecraft, Shelley, 
a0260, Motley, John Lothrop, John Lothrop, Motley, 
a0261, Dennis, C. J. (Clarence James), C. J. (Clarence James), Dennis, 
a0262, Caldwell, George W. (George Walter), George W. (George Walter), Caldwell, 
a0263, Lockhart, Caroline, Caroline, Lockhart, 
a0264, Howells, William Dean, William Dean, Howells, 
a0265, Smith, George H. (George Henry), George H. (George Henry), Smith, 
a0266, Crane, Stephen, Stephen, Crane, 
a0267, Taylor, Charles M. (Charles Maus), Charles M. (Charles Maus), Taylor, 
a0268, Schoenherr, John, John, Schoenherr, 
a0269, Ashwell, Pauline, Pauline, Ashwell, 
a027, Cabell, James Branch, James Branch, Cabell, 
a0270, Ashby-Sterry, J. (Joseph), J. (Joseph), Ashby-Sterry, 
a0271, Black, Alexander, Alexander, Black, 
a0272, Ostrander, Stephen M., Stephen M., Ostrander, 
a0273, Baum, L. Frank (Lyman Frank), L. Frank (Lyman Frank), Baum, 
a0274, Carsey, Alice, Alice, Carsey, 
a0275, Locke, John, John, Locke, 
a0276, Bruère, Robert W. (Robert Walter), Robert W. (Robert Walter), Bruère, 
a0277, Anstey, F., F., Anstey, 
a0278, Sheridan, Frances Chamberlaine, Frances Chamberlaine, Sheridan, 
a0279, Riley, James Whitcomb, James Whitcomb, Riley, 
a028, Morris, George Pope, George Pope, Morris, 
a0280, Vawter, Will, Will, Vawter, 
a0281, Parkman, Francis, Francis, Parkman, 
a0282, Shaw, Bernard, Bernard, Shaw, 
a0283, Ingram, Kenneth, Kenneth, Ingram, 
a0284, Waring, James, James, Waring, 
a0285, Duellman, William Edward, William Edward, Duellman, 
a0286, Bush, George W. (George Walker), George W. (George Walker), Bush, 
a0287, Levinger, Lee J. (Lee Joseph), Lee J. (Lee Joseph), Levinger, 
a0288, Le Feuvre, Amy, Amy, Le Feuvre, 
a0289, Marston, John, John, Marston, 
a029, Leslie, Eliza, Eliza, Leslie, 
a0290, Bullen, A. H. (Arthur Henry), A. H. (Arthur Henry), Bullen, 
a0291, A.L. Bancroft & Company, A.L., Bancroft & Company, 
a0292, Fiske, John Safford, John Safford, Fiske, 
a0293, Doré, Gustave, Gustave, Doré, 
a0294, Taine, Hippolyte, Hippolyte, Taine, 
a0295, Groome, Francis Hindes, Francis Hindes, Groome, 
a0296, Borrow, George, George, Borrow, 
a0297, McElroy, John, John, McElroy, 
a0298, Leacock, Stephen, Stephen, Leacock, 
a0299, Holt, Emily Sarah, Emily Sarah, Holt, 
a03, Osbourne, Lloyd, Lloyd, Osbourne, 
a030, Paine, Albert Bigelow, Albert Bigelow, Paine, 
a0300, Hope, Laura Lee, Laura Lee, Hope, 
a0301, Granger, Darius John, Darius John, Granger, 
a0302, Webster, Noah, Noah, Webster, 
a0303, Project Gutenberg, Project, Gutenberg, 
a0304, Kobbé, Gustav, Gustav, Kobbé, 
a0305, Aldrich, Thomas Bailey, Thomas Bailey, Aldrich, 
a0306, Cervantes Saavedra, Miguel de, Miguel de, Cervantes Saavedra, 
a0307, Ormsby, John, John, Ormsby, 
a0308, Gillmore, Inez Haynes, Inez Haynes, Gillmore, 
a0309, Chesterton, G. K. (Gilbert Keith), G. K. (Gilbert Keith), Chesterton, 
a031, Shakespeare, William, William, Shakespeare, 
a0310, Baring-Gould, S. (Sabine), S. (Sabine), Baring-Gould, 
a0311, Harmon, Jim, Jim, Harmon, 
a0312, Garrison, William Lloyd, William Lloyd, Garrison, 
a0313, Gulick, Sidney Lewis, Sidney Lewis, Gulick, 
a0314, Keats, John, John, Keats, 
a0315, Neatby, William James, William James, Neatby, 
a0316, Byron, May Clarissa Gillington, May Clarissa Gillington, Byron, 
a0317, Lighthall, W. D. (William Douw), W. D. (William Douw), Lighthall, 
