bookID,cityID,count
9299,4893591,1
9299,5162645,1
9299,5780993,1
9299,5805782,1
9299,5861897,1
9300,1002145,1
9300,2633352,1
9300,2634715,9
9300,2636910,2
9300,2643743,58
9300,2644210,2
9300,2651048,1
9300,2653228,1
9300,2653941,1
9300,2761369,83
9300,2867714,1
9300,2950159,6
9300,2988507,19
9300,3029162,1
9300,3070291,2
9300,3088461,33
9300,3164603,6
9300,3439525,1
9300,3938396,1
9300,4560349,1
9300,4711725,1
9300,4778626,27
9300,4887398,17
9300,4952121,15
9300,4996248,1
9300,5011908,14
9300,5120478,13
9300,5224151,7
9300,533690,2
9300,5780993,1
9300,5861897,1
9300,6159905,1
9300,6174041,1
9300,6178582,1
9300,6690877,4
930,1006984,1
930,1170013,1
9301,2346812,1
9301,2643071,1
9301,2650225,1
9301,2868936,1
9301,3070291,2
9301,3439525,1
9301,3711668,1
9301,4152820,87
9301,4499389,11
9301,4517698,7
9301,4711725,1
9301,5153420,1
9301,5229794,80
9301,5356868,6
9301,5379513,1
9301,5509952,1
9301,5780993,1
9301,5861897,1
9301,6074377,3
9301,668732,1
9301,7260219,3
930,1937031,2
930,2513145,2
930,2524245,24
930,2524907,1
930,2643743,10
930,2656992,1
930,2800866,2
930,281184,1
930,287286,2
930,2988507,7
930,3031005,1
930,3070291,3
930,3108008,2
930,3165762,2
930,3166548,2
930,3169070,4
930,3171180,1
930,3172629,1
930,3176959,2
930,3177219,3
930,3177838,1
930,3177841,7
930,3439525,1
930,4116660,1
9304,1267979,17
9304,1716858,1
930,4172372,1
9304,1730097,2
9304,2073124,4
9304,2513416,1
9304,2517117,1
9304,264371,11
9304,2653877,1
9304,2673730,1
9304,2868936,1
9304,2972315,1
9304,2988507,6
9304,2990969,1
9304,3034006,2
9304,3070291,1
9304,3164603,1
9304,3169070,5
9304,3170647,1
9304,3173370,2
9304,3386361,2
9304,361058,5
9304,3711668,3
9304,3792392,50
9304,4165637,3
9304,4461941,1
9304,4623560,2
9304,4683317,1
9304,4711725,1
9304,4888015,4
9304,4893591,1
9304,4895298,2
9304,4996248,1
9304,5224151,2
9304,5327684,9
9304,5356451,1
9304,5406421,2
9304,5780993,1
9304,5861897,1
9304,5895650,2
9304,668732,5
930,4711725,1
9304,7260219,3
930,4733624,1
930,4900373,1
930,4902754,2
9305,1002145,1
930,5153420,1
9305,2165478,1
930,5229794,1
9305,2643071,1
9305,2643743,28
9305,2644210,4
930,5268249,1
9305,3070291,3
9305,3164603,1
9305,4274277,1
9305,4517698,81
9305,4711725,1
9305,4930956,35
9305,5105496,116
9305,5108219,1
9305,5365937,5
9305,5391959,1
9305,5780993,1
9305,5861897,1
9305,5907983,19
9305,6087892,3
930,562820,1
930,5780993,1
930,5861897,1
9305,963516,1
9306,1267979,48
9306,2073124,1
9306,2523920,1
9306,2640729,1
9306,2644559,1
9306,2895044,2
9306,2907911,3
9306,2950159,1
9306,2988507,3
9306,3070291,1
9306,3110983,1
9306,3164527,1
9306,3164603,1
9306,3165524,1
9306,3166548,2
9306,3169070,2
9306,3172394,14
9306,3173370,1
9306,3173914,2
9306,3178019,1
9306,3182351,2
9306,3450083,1
9306,3792392,28
9306,4170688,3
9306,4292188,1
9306,4355585,1
9306,4391812,1
9306,4509177,1
9306,4670146,1
9306,4670300,2
9306,4711725,1
9306,4735966,1
9306,4749950,3
9306,4882920,2
9306,4888015,1
9306,4948247,1
9306,4996248,1
9306,5153420,1
9306,5174035,1
9306,5327684,1
9306,5356451,1
9306,5515110,1
9306,5861897,2
9306,6074377,1
9306,668732,3
930,668732,3
9306,7260219,3
9309,1002145,36
9309,2165478,2
9309,2633352,1
9309,2643071,1
9309,2643743,13
9309,2644210,24
9309,2868936,3
9309,2965140,2
9309,2988507,2
